id,team,state,w,l
1,Atlanta Hawks,Georgia,29,53
2,Boston Celtics,Massachusetts,49,33
3,Brooklyn Nets,New York,42,40
4,Charlotte Hornets,North Carolina,39,43
5,Chicago Bulls,Illinois,22,60
6,Cleveland Cavaliers,Ohio,19,63
7,Dallas Mavericks,Texas,33,49
8,Denver Nuggets,Colorado,54,28
9,Detroit Pistons,Michigan,41,41
10,Golden State Warriors,California,57,25
11,Houston Rockets,Texas,53,29
12,Indiana Pacers,Indiana,48,34
13,Los Angeles Clippers,California,48,34
14,Los Angeles Lakers,California,37,45
15,Memphis Grizzlies,Tennessee,33,49
16,Miami Heat,Florida,39,43
17,Milwaukee Bucks,Wisconsin,60,22
18,Minnesota Timberwolves,Minnesota,36,46
19,New Orleans Pelicans,Louisiana,33,49
20,New York Knicks,New York,17,65
21,Oklahoma City Thunder,Oklahoma,49,33
22,Orlando Magic,Florida,42,40
23,Philadelphia 76ers,Pennsylvania,51,31
24,Phoenix Suns,Arizona,19,63
25,Portland Trail Blazers,Oregon,53,29
26,Sacramento Kings,California,39,43
27,San Antonio Spurs,Texas,48,34
28,Toronto Raptors,NA,58,24
29,Utah Jazz,Utah,50,32
30,Washington Wizards,NA,32,50
